4.34;Стир фрай с тофу;200;22;6;42;296;Основное блюдо;Тофу
4.35;Обжареное в кунжуте тофу;250;30;10;50;397;Основное блюдо;Тофу
4.36;Тофу с авокадо;200;10;18;8;229;Основное блюдо;Тофу
4.37;Тофу с томатами и рукколой;200;8;4;6;91;Основное блюдо;Тофу
4.38;Яки Тофу;250;10;9;16;184;Основное блюдо;Тофу
3.1;Запеканка с тыквой;250;25;18;30;410;Основное блюдо;Тыква
0.7;Суп пюре тыквенный;250;3;8;12;135;Суп;Тыква
1.43;Фриттата с кабачками и фасолью;250;28;17;31;387;Основное блюдо;Фасоль
0.10;Суп фасолевый вегитарианский;250;33;7;95;576;Суп;Фасоль
0.9;Суп фасолевый с мясом;250;30;11;63;468;Суп;Фасоль
6.31;Лобио из фасоли;350;12;1;38;206;Основное блюдо;Фасоль
6.32;Рагу из фасоли с кабачками;250;9;8;28;222;Основное блюдо;Фасоль
6.33;Радужная капоната с фасолью;300;9;13;29;270;Основное блюдо;Фасоль
6.34;Салат из фасоли и сезонных овощей;200;9;1;26;144;Салат;Фасоль
6.35;Салат с фасолью и тахини;300;12;9;33;256;Салат;Фасоль
6.36;Фасолевые котлеты;250;12;1;35;200;Основное блюдо;Фасоль
6.37;Фасоль с овощами;300;10;6;33;225;Основное блюдо;Фасоль
6.38;Фасоль с печёными овощами;300;31;19;83;593;Основное блюдо;Фасоль
6.39;Фасоль со свежими овощами;250;30;2;75;440;Основное блюдо;Фасоль
6.40;Фасоль с сельдереевым пюре;200;32;2;79;463;Основное блюдо;Фасоль/Сельдерей
6.41;Фасоль с тыквенным пюре;250;30;12;79;548;Основное блюдо;Фасоль/Тыква
6.42;Фасоль со шпинатом;250;33;7;81;522;Основное блюдо;Фасоль/Шпинат
0.4;Мароканский чечевичный суп;250;31;2;75;441;Суп;Чечевица
6.61;Салат из чечевицы с авокадо;300;32;17;75;584;Салат;Чечевица
6.62;Салат из чечевицы;300;40;5;90;560;Салат;Чечевица
6.63;Чечевица с овощами гриль;300;32;7;75;500;Основное блюдо;Чечевица
6.64;Чечевица с редисом;250;32;5;75;473;Основное блюдо;Чечевица
6.65;Чечевичное карри с грибами;300;43;1;87;600;Основное блюдо;Чечевица
6.66;Чечевичное рагу;300;34;2;82;475;Основное блюдо;Чечевица
6.67;Чечевичные котлеты;250;39;2;88;522;Основное блюдо;Чечевица
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
